,tsi,stfi,caliper,moisture,basisweight,rct,prediction
0,4.7,22.18,10.92,6.07,38.57,87,87.5169786
1,4.97,20.09,11.74,4.48,40.13,97,95.58390425
2,5.08,23.34,11.23,6.25,40.51,92,92.83927904
3,4.43,21.56,12.17,5.72,40.61,96,92.56210858
4,5.08,22.61,11.3,6.56,40.8,89,92.0177136
5,5.03,25.03,11.4,6.32,40.82,93,94.41941104
6,5.18,23.5,11.26,6.76,40.97,94,93.30522663
7,5.19,24.24,11.41,5.94,40.98,96,95.82696929
8,5.02,24.54,11.03,6.5,40.98,98,93.85708036
9,5.42,26.11,11.27,6.71,41.09,97,97.01435754
10,4.99,21.07,11.99,6.31,41.15,90,91.68415574
11,5.25,25.91,11.4,6.67,41.2,94,96.1492307
12,5.05,21.72,12.21,5.99,41.3,93,93.91359916
13,4.91,21.87,11.98,6.55,41.31,96,91.3036984
14,4.94,22.93,12.02,6.33,41.32,95,93.17610082
15,4.97,22.84,12.65,6.58,41.35,96,92.34294814
16,5.07,25.08,11.3,6.92,41.4,94,94.30464763
17,4.67,22.36,11.59,6.58,41.4,88,90.77481991
18,5.19,25.56,11.45,6.99,41.42,95,95.15997785
19,5.01,23.62,11.43,6.41,41.49,92,94.27093778
20,4.8,21.26,12.12,6.25,41.49,92,91.93645927
21,4.73,22.37,12.05,6.42,41.5,94,91.85302595
22,4.8,23.83,12.41,6.33,41.51,92,93.79579458
23,5.13,25.79,11.34,6.86,41.51,97,95.5296567
24,4.82,21.54,11.96,6.79,41.52,93,90.25567218
25,4.89,21.45,12.1,6.74,41.53,91,90.74735791
26,5.08,24.25,11.7,6.26,41.56,93,95.72424846
27,4.71,21.99,12.26,6.38,41.57,92,91.78785661
28,4.8,22.52,11.97,6.74,41.58,93,91.22029987
29,3.64,18.21,12.44,6.79,41.58,85,86.66918553
30,5.03,22.64,12.09,6.36,41.58,92,93.82539687
31,5.17,23.8,11.3,6.44,41.58,94,95.41251583
32,4.78,21.6,12.56,6.05,41.63,94,93.35716095
33,4.79,21.9,12.15,6.68,41.69,93,91.08032218
34,5.13,24.49,11.43,6.25,41.71,94,96.50931157
35,5.07,23.12,11.5,6.37,41.72,94,94.77906615
36,4.96,25.59,11.55,6.55,41.73,96,95.73892746
37,4.06,20.6,12.46,6.3,41.74,86,90.48429409
38,5.05,23.86,11.48,6.67,41.74,93,94.43854089
39,4.82,23.46,11.35,6.39,41.74,94,93.96181326
40,4.89,21.16,12.27,6.13,41.76,97,93.33426837
41,4.88,23.74,12.04,7.12,41.76,94,92.16346101
42,5.27,24.72,11.62,6.28,41.78,94,97.44988352
43,4.68,22.53,13.11,5.93,41.79,94,94.51938868
44,5.19,26.12,11.42,6.48,41.8,99,97.68230187
45,4.54,19.69,13.33,6.6,41.82,92,89.52861466
46,4.86,22.19,12.57,6.42,41.85,95,93.00607457
47,5.22,25.05,11.61,6.24,41.85,98,97.72430672
48,4.98,22.82,12.6,6.17,41.89,93,95.10866149
49,4.96,24.06,11.52,6.48,41.95,96,95.16503553
50,4.97,24.11,11.48,6.43,42.04,97,95.6299523
51,4.8,22.29,12.52,6.48,42.09,90,93.12106417
52,4.83,24.35,11.69,6.72,42.14,96,94.37964823
53,5.06,23.92,11.69,6.4,42.16,98,96.22634683
54,4.63,21.71,12.37,6.61,42.18,94,91.62568526
55,4.96,22.69,11.67,6.32,42.19,98,95.0900264
56,4.74,24.34,11.59,6.71,42.21,98,94.23383104
57,5.19,25.14,11.52,6.53,42.22,99,97.62578129
